B15212,Concentration of black carbon in PM10 (invented),ug/m**3,201,200,245,255,0.000000001,0.0
B15213,Concentration of organic carbon in PM10 (invented),ug/m**3,200,195,14,0,0.000000001,0.0
B15213,Concentration of organic carbon in PM10 (invented),ug/m**3,200,195,14,255,0.000000001,0.0
B15213,Concentration of organic carbon in PM10 (invented),ug/m**3,200,200,246,0,0.000000001,0.0
B15213,Concentration of organic carbon in PM10 (invented),ug/m**3,200,200,246,255,0.000000001,0.0
B15213,Concentration of organic carbon in PM10 (invented),ug/m**3,201,200,246,0,0.000000001,0.0
B15213,Concentration of organic carbon in PM10 (invented),ug/m**3,201,200,246,255,0.000000001,0.0
B15214,Concentration of dust in PM10 (invented),ug/m**3,200,195,15,0,0.000000001,0.0
B15214,Concentration of dust in PM10 (invented),ug/m**3,200,195,15,255,0.000000001,0.0
B15214,Concentration of dust in PM10 (invented),ug/m**3,200,200,248,0,0.000000001,0.0
B15214,Concentration of dust in PM10 (invented),ug/m**3,200,200,248,255,0.000000001,0.0
B15214,Concentration of dust in PM10 (invented),ug/m**3,201,200,248,0,0.000000001,0.0
B15214,Concentration of dust in PM10 (invented),ug/m**3,201,200,248,255,0.000000001,0.0
B15215,Concentration of anthrop. A1D in PM10 (invented),ug/m**3,200,195,16,0,0.000000001,0.0
B15215,Concentration of anthrop. A1D in PM10 (invented),ug/m**3,200,195,16,255,0.000000001,0.0
B15215,Concentration of anthrop. A1D in PM10 (invented),ug/m**3,200,200,249,0,0.000000001,0.0
B15215,Concentration of anthrop. A1D in PM10 (invented),ug/m**3,200,200,249,255,0.000000001,0.0
B15215,Concentration of anthrop. A1D in PM10 (invented),ug/m**3,201,200,249,0,0.000000001,0.0
B15215,Concentration of anthrop. A1D in PM10 (invented),ug/m**3,201,200,249,255,0.000000001,0.0
B15216,Concentration of anthrop. BmP in PM10 (invented),ug/m**3,200,195,17,0,0.000000001,0.0
B15216,Concentration of anthrop. BmP in PM10 (invented),ug/m**3,200,195,17,255,0.000000001,0.0
B15216,Concentration of anthrop. BmP in PM10 (invented),ug/m**3,200,200,250,0,0.000000001,0.0
B15216,Concentration of anthrop. BmP in PM10 (invented),ug/m**3,200,200,250,255,0.000000001,0.0
B15216,Concentration of anthrop. BmP in PM10 (invented),ug/m**3,201,200,250,0,0.000000001,0.0
B15216,Concentration of anthrop. BmP in PM10 (invented),ug/m**3,201,200,250,255,0.000000001,0.0
B15217,Concentration of biogenic A1D in PM10 (invented),ug/m**3,200,195,18,0,0.000000001,0.0
B15217,Concentration of biogenic A1D in PM10 (invented),ug/m**3,200,195,18,255,0.000000001,0.0
B15217,Concentration of biogenic A1D in PM10 (invented),ug/m**3,200,200,251,0,0.000000001,0.0
B15217,Concentration of biogenic A1D in PM10 (invented),ug/m**3,200,200,251,255,0.000000001,0.0
B15217,Concentration of biogenic A1D in PM10 (invented),ug/m**3,201,200,251,0,0.000000001,0.0
B15217,Concentration of biogenic A1D in PM10 (invented),ug/m**3,201,200,251,255,0.000000001,0.0
B15218,Concentration of biogenic BmP in PM10 (invented),ug/m**3,200,195,19,0,0.000000001,0.0
B15218,Concentration of biogenic BmP in PM10 (invented),ug/m**3,200,195,19,255,0.000000001,0.0
B15218,Concentration of biogenic BmP in PM10 (invented),ug/m**3,200,200,252,0,0.000000001,0.0
B15218,Concentration of biogenic BmP in PM10 (invented),ug/m**3,200,200,252,255,0.000000001,0.0
B15218,Concentration of biogenic BmP in PM10 (invented),ug/m**3,201,200,252,0,0.000000001,0.0
B15218,Concentration of biogenic BmP in PM10 (invented),ug/m**3,201,200,252,255,0.000000001,0.0
B15219,Concentration of water in PM10 (invented),ug/m**3,200,195,20,0,0.000000001,0.0
B15219,Concentration of water in PM10 (invented),ug/m**3,200,195,20,255,0.000000001,0.0
B15219,Concentration of water in PM10 (invented),ug/m**3,200,200,253,0,0.000000001,0.0
B15219,Concentration of water in PM10 (invented),ug/m**3,200,200,253,255,0.000000001,0.0
B15219,Concentration of water in PM10 (invented),ug/m**3,201,200,253,0,0.000000001,0.0
B15219,Concentration of water in PM10 (invented),ug/m**3,201,200,253,255,0.000000001,0.0
B15220,Concentration of sea salt in PM10 (invented),ug/m**3,200,195,21,0,0.000000001,0.0
B15220,Concentration of sea salt in PM10 (invented),ug/m**3,200,195,21,255,0.000000001,0.0
B15220,Concentration of sea salt in PM10 (invented),ug/m**3,200,200,254,0,0.000000001,0.0
B15220,Concentration of sea salt in PM10 (invented),ug/m**3,200,200,254,255,0.000000001,0.0
B15220,Concentration of sea salt in PM10 (invented),ug/m**3,201,200,255,0,0.000000001,0.0
B15220,Concentration of sea salt in PM10 (invented),ug/m**3,201,200,255,255,0.000000001,0.0
B15221,Concentration of secondary organic aerosol in PM10 (invented),ug/m**3,200,195,30,0,0.000000001,0.0
B15221,Concentration of secondary organic aerosol in PM10 (invented),ug/m**3,200,195,30,255,0.000000001,0.0
B15221,Concentration of secondary organic aerosol in PM10 (invented),ug/m**3,200,200,247,0,0.000000001,0.0
B15221,Concentration of secondary organic aerosol in PM10 (invented),ug/m**3,200,200,247,255,0.000000001,0.0
B15221,Concentration of secondary organic aerosol in PM10 (invented),ug/m**3,201,200,247,0,0.000000001,0.0
B15221,Concentration of secondary organic aerosol in PM10 (invented),ug/m**3,201,200,247,255,0.000000001,0.0
B15222,Total concentration of primary aerosol in PM10 (invented),ug/m**3,200,195,31,0,0.000000001,0.0
B15222,Total concentration of primary aerosol in PM10 (invented),ug/m**3,200,195,31,255,0.000000001,0.0
B15223,Total concentration of secondary aerosol in PM10 (invented),ug/m**3,200,195,32,0,0.000000001,0.0
B15223,Total concentration of secondary aerosol in PM10 (invented),ug/m**3,200,195,32,255,0.000000001,0.0
B15223,Total concentration of secondary aerosol in PM10 (invented),ug/m**3,201,195,32,0,0.000000001,0.0
B15223,Total concentration of secondary aerosol in PM10 (invented),ug/m**3,201,195,32,255,0.000000001,0.0
B15224,Uncertainity in O3 estimate (Pesco; invented),ug/m**3,200,200,95,255,0.000000001,0.0
B15225,Uncertainity in PM10 estimate (Pesco; invented),ug/m**3,200,200,96,255,0.000000001,0.0
B15226,Uncertainity in NO2 estimate (Pesco; invented),ug/m**3,200,200,97,255,0.000000001,0.0
B15227,Uncertainity in PM2.5 estimate (Pesco; invented),ug/m**3,200,200,98,255,0.000000001,0.0
B15228,NH3 concentration (invented),ppb,200,200,205,0,0.00000000071,0.0
